CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346,327,1,77183.6,1,1,5,115,Lost Customers -_-
12347,41,7,4310.0,4,5,5,455,OG-Champions
12348,77,4,1797.24,3,4,4,344,Loyal Customers ;)
12349,20,1,1757.55,4,1,4,414,Potential Loyalists ^-^
12350,312,1,334.4,1,1,2,112,Lost Customers -_-
12352,74,8,2506.04,3,5,5,355,Loyal Customers ;)
12353,205,1,89.0,1,1,1,111,Lost Customers -_-
12354,234,1,1079.4,1,1,4,114,Lost Customers -_-
12355,97,1,459.4,2,1,2,212,Lost Customers -_-
12356,24,3,2811.43,4,3,5,435,Loyal Customers ;)
12357,183,1,6207.67,2,1,5,215,Lost Customers -_-
12358,4,2,1168.06,5,2,4,524,Potential Loyalists ^-^
12359,10,4,6372.58,5,4,5,545,OG-Champions
12360,54,3,2662.06,3,3,5,335,Loyal Customers ;)
12361,289,1,189.9,1,1,1,111,Lost Customers -_-
12362,31,10,5226.23,4,5,5,455,OG-Champions
12363,37,2,552.0,4,2,3,423,Potential Loyalists ^-^
12364,42,4,1313.1,4,4,4,444,OG-Champions
12365,293,2,641.38,1,2,3,123,Lost Customers -_-
12367,213,1,168.9,1,1,1,111,Lost Customers -_-
12370,53,4,3545.69,3,4,5,345,Loyal Customers ;)
12371,31,2,1887.96,4,2,4,424,Potential Loyalists ^-^
12372,36,3,1298.04,4,3,4,434,Loyal Customers ;)
12373,343,1,364.6,1,1,2,112,Lost Customers -_-
12374,27,1,742.93,4,1,3,413,Potential Loyalists ^-^
12375,12,2,457.5,5,2,2,522,Potential Loyalists ^-^
12377,317,2,1628.12,1,2,4,124,Lost Customers -_-
12378,306,1,4008.62,1,1,5,115,Lost Customers -_-
12379,83,2,852.24,3,2,3,323,Promising :)
12380,23,4,2724.81,4,4,5,445,OG-Champions
12381,1,5,1845.31,5,4,4,544,OG-Champions
12383,10,5,1850.56,5,4,4,544,OG-Champions
12384,30,2,585.27,4,2,3,423,Potential Loyalists ^-^
12386,193,2,401.9,1,2,2,122,Lost Customers -_-
12388,17,6,2780.66,5,4,5,545,OG-Champions
12390,81,1,549.84,3,1,3,313,Promising :)
12391,23,1,460.89,4,1,2,412,Potential Loyalists ^-^
12393,40,4,1582.6,4,4,4,444,OG-Champions
12394,154,2,1272.48,2,2,4,224,Lost Customers -_-
12395,6,12,3018.63,5,5,5,555,OG-Champions
12397,137,2,2409.9,2,2,5,225,Lost Customers -_-
12398,47,1,1635.6599999999999,3,1,4,314,Promising :)
12399,3,4,1108.65,5,4,4,544,OG-Champions
12401,100,1,84.3,2,1,1,211,Lost Customers -_-
12402,325,1,225.6,1,1,1,111,Lost Customers -_-
12403,51,1,427.7,3,1,2,312,Promising :)
12405,150,1,1710.3899999999999,2,1,4,214,Lost Customers -_-
12406,23,2,3415.2999999999997,4,2,5,425,Potential Loyalists ^-^
12407,51,5,1708.12,3,4,4,344,Loyal Customers ;)
12408,153,5,2888.55,2,4,5,245,At Risk :(
12409,66,3,11072.67,3,3,5,335,Loyal Customers ;)
12410,253,2,693.33,1,2,3,123,Lost Customers -_-
12412,76,3,1226.8799999999999,3,3,4,334,Loyal Customers ;)
12413,193,3,758.1,1,3,3,133,At Risk :(
12414,189,3,562.41,2,3,3,233,At Risk :(
12415,26,21,124914.53,4,5,5,455,OG-Champions
12417,41,9,3649.1,4,5,5,455,OG-Champions
12418,114,1,668.58,2,1,3,213,Lost Customers -_-
12420,154,1,600.39,2,1,3,213,Lost Customers -_-
12421,17,4,807.04,5,4,3,543,OG-Champions
12422,170,3,803.56,2,3,3,233,At Risk :(
12423,90,8,1859.31,2,5,4,254,At Risk :(
12424,164,2,1760.96,2,2,4,224,Lost Customers -_-
12425,79,1,777.2,3,1,3,313,Promising :)
12426,196,1,582.73,1,1,3,113,Lost Customers -_-
12427,23,3,825.8000000000001,4,3,3,433,Loyal Customers ;)
12428,27,9,7956.46,4,5,5,455,OG-Champions
12429,10,4,3750.4,5,4,5,545,OG-Champions
12430,45,1,256.4,3,1,2,312,Promising :)
12431,3,15,6487.45,5,5,5,555,OG-Champions
12432,44,5,5059.32,4,4,5,445,OG-Champions
12433,11,7,13375.87,5,5,5,555,OG-Champions
12434,86,2,806.14,3,2,3,323,Promising :)
12435,81,2,7829.889999999999,3,2,5,325,Promising :)
12436,336,1,509.01,1,1,3,113,Lost Customers -_-
12437,10,18,4951.41,5,5,5,555,OG-Champions
12438,16,2,2906.85,5,2,5,525,Potential Loyalists ^-^
12441,486,1,173.55,1,1,1,111,Lost Customers -_-
12442,182,1,172.06,2,1,1,211,Lost Customers -_-
12444,1,5,5005.46,5,4,5,545,OG-Champions
12445,23,1,133.4,4,1,1,411,Potential Loyalists ^-^
12446,59,1,1002.31,3,1,4,314,Promising :)
12447,68,1,476.49,3,1,2,312,Promising :)
12448,46,1,449.45,3,1,2,312,Promising :)
12449,24,4,4067.29,4,4,5,445,OG-Champions
12450,175,2,197.88,2,2,1,221,Lost Customers -_-
12451,12,5,9035.52,5,4,5,545,OG-Champions
12452,18,2,430.57,5,2,2,522,Potential Loyalists ^-^
12453,136,1,707.09,2,1,3,213,Lost Customers -_-
12454,58,1,3528.34,3,1,5,315,Promising :)
12455,75,6,2466.86,3,4,5,345,Loyal Customers ;)
12456,46,3,3181.04,3,3,5,335,Loyal Customers ;)
12457,83,7,2363.23,3,5,5,355,Loyal Customers ;)
12458,73,2,947.4,3,2,4,324,Promising :)
12461,126,2,826.88,2,2,3,223,Lost Customers -_-
12462,20,2,1189.59,4,2,4,424,Potential Loyalists ^-^
12463,7,4,1344.78,5,4,4,544,OG-Champions
12464,12,8,1212.05,5,5,4,554,OG-Champions
12465,19,2,742.1899999999999,5,2,3,523,Potential Loyalists ^-^
12468,219,2,729.54,1,2,3,123,Lost Customers -_-
12471,12,30,19824.05,5,5,5,555,OG-Champions
12472,53,7,6572.11,3,5,5,355,Loyal Customers ;)
12473,55,5,3938.55,3,4,5,345,Loyal Customers ;)
12474,4,18,7375.79,5,5,5,555,OG-Champions
12475,55,1,723.38,3,1,3,313,Promising :)
12476,17,11,6816.42,5,5,5,555,OG-Champions
12477,24,6,13219.74,4,4,5,445,OG-Champions
12478,182,1,680.99,2,1,3,213,Lost Customers -_-
12479,13,1,527.2,5,1,3,513,Potential Loyalists ^-^
12480,30,4,3281.63,4,4,5,445,OG-Champions
12481,24,10,5596.32,4,5,5,455,OG-Champions
12483,19,8,2484.98,5,5,5,555,OG-Champions
12484,102,6,4541.72,2,4,5,245,At Risk :(
12488,11,3,1298.66,5,3,4,534,Loyal Customers ;)
12489,163,1,334.93,2,1,2,212,Lost Customers -_-
12490,19,10,5417.93,5,5,5,555,OG-Champions
12491,334,1,460.4,1,1,2,112,Lost Customers -_-
12492,107,2,263.21,2,2,2,222,Lost Customers -_-
12493,167,2,433.74,2,2,2,222,Lost Customers -_-
12494,17,7,1246.1,5,5,4,554,OG-Champions
12497,83,1,1043.1,3,1,4,314,Promising :)
12498,23,3,403.7,4,3,2,432,Loyal Customers ;)
12500,25,11,4257.82,4,5,5,455,OG-Champions
12501,163,1,2169.39,2,1,5,215,Lost Customers -_-
12502,189,5,3723.87,2,4,5,245,At Risk :(
12504,20,2,482.05,4,2,2,422,Potential Loyalists ^-^
12506,234,1,73.5,1,1,1,111,Lost Customers -_-
12507,136,3,1304.81,2,3,4,234,At Risk :(
12508,28,2,398.27,4,2,2,422,Potential Loyalists ^-^
12509,286,1,176.5,1,1,1,111,Lost Customers -_-
12510,144,2,982.57,2,2,4,224,Lost Customers -_-
12512,245,2,138.03,1,2,1,121,Lost Customers -_-
12513,114,1,612.29,2,1,3,213,Lost Customers -_-
12514,269,1,1017.6800000000001,1,1,4,114,Lost Customers -_-
12515,355,1,383.7,1,1,2,112,Lost Customers -_-
12516,5,2,1312.06,5,2,4,524,Potential Loyalists ^-^
12517,30,5,2502.84,4,4,5,445,OG-Champions
12518,1,5,2056.89,5,4,4,544,OG-Champions
12519,154,1,340.84,2,1,2,212,Lost Customers -_-
12520,38,5,2634.2599999999998,4,4,5,445,OG-Champions
12521,144,1,599.68,2,1,3,213,Lost Customers -_-
12522,41,2,192.72,4,2,1,421,Potential Loyalists ^-^
12523,10,11,1789.77,5,5,4,554,OG-Champions
