CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,CLV,CLV_Segment,Business_Action
12346,327,1,77183.6,1,1,5,115,Lost Customers -_-,329729.4779160904,High Value,Win Back Campaign
12347,41,7,4310.0,4,5,5,455,OG-Champions,2630.340512415201,High Value,VIP Retention
12348,77,4,1797.24,3,4,4,344,Loyal Customers ;),1919.458948824343,High Value,Upsell Opportunity
12349,20,1,1757.55,4,1,4,414,Potential Loyalists ^-^,7508.279529737206,High Value,Growth Opportunity
12350,312,1,334.4,1,1,2,112,Lost Customers -_-,1428.56173351775,Medium Value,Growth Opportunity
12352,74,8,2506.04,3,5,5,355,Loyal Customers ;),1338.2299815583217,Medium Value,Growth Opportunity
12353,205,1,89.0,1,1,1,111,Lost Customers -_-,380.20931304748734,Low Value,Nurture
12354,234,1,1079.4,1,1,4,114,Lost Customers -_-,4611.212724757953,High Value,Win Back Campaign
12355,97,1,459.4,2,1,2,212,Lost Customers -_-,1962.5635776855693,High Value,Win Back Campaign
12356,24,3,2811.43,4,3,5,435,Loyal Customers ;),4003.490145996619,High Value,Upsell Opportunity
12357,183,1,6207.67,2,1,5,215,Lost Customers -_-,26519.257823881973,High Value,Win Back Campaign
12358,4,2,1168.06,5,2,4,524,Potential Loyalists ^-^,2494.984776394652,High Value,Growth Opportunity
12359,10,4,6372.58,5,4,5,545,OG-Champions,6805.938944213924,High Value,VIP Retention
12360,54,3,2662.06,3,3,5,335,Loyal Customers ;),3790.786531427693,High Value,Upsell Opportunity
12361,289,1,189.9,1,1,1,111,Lost Customers -_-,811.255601659751,Low Value,Nurture
12362,31,10,5226.23,4,5,5,455,OG-Champions,2232.653166436145,High Value,VIP Retention
12363,37,2,552.0,4,2,3,423,Potential Loyalists ^-^,1179.076071922545,Medium Value,Growth Opportunity
12364,42,4,1313.1,4,4,4,444,OG-Champions,1402.3956431535269,Medium Value,Growth Opportunity
12365,293,2,641.38,1,2,3,123,Lost Customers -_-,1369.9924112494236,Medium Value,Growth Opportunity
12367,213,1,168.9,1,1,1,111,Lost Customers -_-,721.5432918395574,Low Value,Nurture
12370,53,4,3545.69,3,4,5,345,Loyal Customers ;),3786.80999769479,High Value,Upsell Opportunity
12371,31,2,1887.96,4,2,4,424,Potential Loyalists ^-^,4032.696486860305,High Value,Growth Opportunity
12372,36,3,1298.04,4,3,4,434,Loyal Customers ;),1848.4153434762563,High Value,Upsell Opportunity
12373,343,1,364.6,1,1,2,112,Lost Customers -_-,1557.5765790686953,Medium Value,Growth Opportunity
12374,27,1,742.93,4,1,3,413,Potential Loyalists ^-^,3173.807920700784,High Value,Growth Opportunity
12375,12,2,457.5,5,2,2,522,Potential Loyalists ^-^,977.2233748271092,Medium Value,Growth Opportunity
12377,317,2,1628.12,1,2,4,124,Lost Customers -_-,3477.676330106039,High Value,Win Back Campaign
12378,306,1,4008.62,1,1,5,115,Lost Customers -_-,17124.883780544027,High Value,Win Back Campaign
12379,83,2,852.24,3,2,3,323,Promising :),1820.3909266943288,High Value,Growth Opportunity
12380,23,4,2724.81,4,4,5,445,OG-Champions,2910.107130013831,High Value,VIP Retention
12381,1,5,1845.31,5,4,4,544,OG-Champions,1576.6383088981097,Medium Value,Growth Opportunity
12383,10,5,1850.56,5,4,4,544,OG-Champions,1581.123924389119,Medium Value,Growth Opportunity
12384,30,2,585.27,4,2,3,423,Potential Loyalists ^-^,1250.1410373443982,Medium Value,Growth Opportunity
12386,193,2,401.9,1,2,2,122,Lost Customers -_-,858.4613646841862,Low Value,Nurture
12388,17,6,2780.66,5,4,5,545,OG-Champions,1979.8367573382511,High Value,VIP Retention
12390,81,1,549.84,3,1,3,313,Promising :),2348.92459197787,High Value,Growth Opportunity
12391,23,1,460.89,4,1,2,412,Potential Loyalists ^-^,1968.9288796680496,High Value,Growth Opportunity
12393,40,4,1582.6,4,4,4,444,OG-Champions,1690.222637159981,High Value,VIP Retention
